Subject,recall_studypos
1,48
1,46
1,47
1,42
1,31
1,9
1,21
1,17
1,14
1,30
1,1
1,43
1,45
1,32
1,38
1,4
1,39
1,13
1,20
1,34
1,44
2,44
2,47
2,41
2,34
2,31
2,22
2,46
2,35
2,32
2,45
2,33
2,28
2,25
2,19
2,42
2,39
2,48
2,8
2,2
2,5
2,23
2,20
2,27
2,30
3,1
3,4
3,7
3,40
3,48
3,46
3,43
3,25
3,17
4,41
4,48
4,46
4,44
4,37
4,40
4,42
4,23
4,20
4,21
4,24
4,35
4,30
4,27
4,45
5,46
5,44
5,45
5,23
5,9
5,18
5,48
5,41
5,20
5,17
5,21
5,1
5,32
5,40
6,2
6,47
6,44
6,46
6,11
7,45
7,41
7,35
7,47
7,44
7,5
7,22
7,19
7,48
7,42
8,48
8,45
8,34
8,41
8,11
8,47
9,48
9,45
9,40
9,37
9,1
9,2
9,7
9,4
9,12
9,13
10,14
10,20
10,37
10,41
11,47
11,48
11,8
11,11
11,24
11,21
11,31
11,30
11,5
12,48
12,20
12,37
12,35
12,36
12,43
12,46
12,18
12,38
12,47
12,31
13,48
13,42
13,30
13,23
13,20
13,14
13,6
13,8
13,5
13,15
13,17
13,22
13,24
13,41
13,28
14,47
14,41
14,48
14,24
14,18
14,17
14,40
14,32
14,35
14,30
14,8
15,41
15,48
15,47
16,43
16,40
16,33
16,29
16,27
16,4
16,1
16,35
16,48
16,36
16,19
16,38
16,32
16,24
16,6
16,7
16,3
16,13
16,45
16,10
16,8
16,12
16,15
16,16
16,18
16,5
16,11
16,26
16,9
16,25
17,48
17,29
17,43
17,14
17,44
17,38
17,36
17,28
17,25
17,30
18,46
18,48
18,45
18,41
18,47
18,40
18,32
18,34
18,29
18,28
18,42
18,23
18,43
18,25
18,24
18,18
18,16
18,14
18,12
18,6
18,4
18,5
19,44
19,42
19,48
19,8
19,27
19,5
19,23
19,14
19,35
19,2
19,38
19,43
19,28
20,48
20,45
20,26
20,16
20,15
20,43
20,18
20,11
20,8
20,20
20,1
20,39
21,48
21,39
22,48
22,31
22,35
22,45
22,40
22,24
22,34
22,42
22,43
22,44
23,14
23,25
23,28
23,44
23,20
23,23
23,8
23,3
23,2
23,5
23,35
23,39
23,37
23,10
23,24
23,27
23,4
23,21
24,38
24,45
24,46
24,11
24,24
24,48
24,17
24,41
24,25
24,5
25,34
25,39
25,48
25,32
25,35
25,18
25,37
25,7
25,20
25,21
26,34
26,41
26,43
26,25
26,36
26,1
27,35
27,32
27,34
27,2
27,30
27,13
27,43
27,15
27,47
27,19
29,48
29,47
29,7
29,10
29,28
29,42
29,2
29,37
29,27
29,26
29,39
29,16
29,18
29,29
30,29
30,12
30,9
30,2
30,5
30,27
30,3
31,48
31,31
31,22
31,36
31,12
31,43
31,27
31,4
31,39
31,6
31,29
31,16
31,1
31,38
31,41
31,3
31,17
31,14
31,8
31,11
31,13
31,26
31,23
32,47
32,44
32,48
32,43
32,35
32,32
32,11
32,8
32,33
32,36
32,37
32,40
32,41
32,22
32,34
32,30
32,25
32,28
32,23
32,21
32,24
32,17
32,14
32,1
33,48
33,45
33,9
33,41
33,38
33,34
33,31
33,44
33,30
33,10
33,1
33,22
33,36
33,39
33,47
33,25
33,28
34,45
34,42
35,45
35,46
35,42
35,30
35,23
35,24
35,47
35,36
35,28
35,39
35,21
35,2
35,20
36,47
36,48
36,43
36,31
36,21
36,44
36,27
36,14
36,23
36,16
36,35
36,36
36,33
36,1
36,7
36,20
36,46
36,42
36,38
36,41
36,40
36,25
36,28
36,45
36,37
36,29
37,39
37,48
37,31
37,46
37,43
37,13
37,45
37,40
37,8
37,41
38,48
38,37
38,1
38,47
38,23
38,2
38,4
38,9
38,12
38,15
38,5
38,10
38,11
38,31
38,32
38,17
39,48
39,44
39,47
39,36
39,28
39,20
39,14
39,17
39,45
39,38
40,45
40,48
40,28
40,25
40,18
40,15
40,43
40,47
40,7
40,31
41,48
41,38
41,42
41,43
41,39
41,41
41,47
41,34
41,10
42,41
42,45
42,15
42,40
42,47
42,44
43,44
43,33
43,9
43,43
43,36
43,20
43,48
43,4
44,17
44,24
44,46
44,43
44,44
44,21
44,29
44,26
45,19
45,35
45,39
45,42
46,47
46,29
46,41
46,38
46,36
46,43
46,48
46,20
46,26
46,17
46,14
46,39
46,19
46,22
46,37
46,28
46,13
46,35
47,48
47,22
47,47
47,36
47,38
47,32
47,46
47,15
48,48
48,43
48,5
48,35
48,32
48,37
48,47
48,22
48,19
48,11
48,8
48,7
48,10
48,28
48,30
48,40
48,14
48,17
48,41
48,31
48,46
48,26
49,36
49,24
49,32
49,21
49,29
49,5
49,23
49,33
49,44
50,47
50,46
50,32
50,35
50,45
51,48
51,46
51,45
51,23
51,21
51,38
51,8
51,32
51,37
51,43
51,28
51,6
51,9
51,42
51,15
51,16
51,3
51,27
52,48
52,21
52,43
52,45
52,38
52,29
52,31
52,20
52,42
52,37
52,17
52,47
52,1
53,33
53,36
53,48
53,47
53,44
53,21
53,24
53,23
53,43
53,5
53,2
53,37
54,45
54,46
54,47
54,21
54,22
54,28
55,48
55,47
55,44
55,43
55,41
55,21
55,33
55,39
55,27
55,38
55,28
55,45
56,45
56,44
56,22
56,19
56,38
56,43
56,46
56,17
56,14
56,47
56,5
56,2
56,48
56,13
56,39
57,48
57,46
57,43
57,30
57,44
57,35
57,9
57,38
57,33
57,36
57,17
57,19
57,22
57,29
58,45
58,44
58,40
58,46
58,43
58,48
58,47
58,34
58,18
58,26
58,23
58,22
58,19
58,37
59,48
59,21
59,43
59,33
59,37
59,45
59,44
59,47
59,42
59,38
59,46
59,35
59,32
59,29
59,4
59,8
59,11
59,22
60,46
60,48
60,41
60,40
60,36
61,27
61,37
61,45
61,48
61,47
61,31
61,30
61,36
61,46
61,43
61,41
61,15
61,12
61,39
61,42
61,35
61,7
61,40
61,32
61,20
61,25
61,22
61,19
61,24
62,37
62,29
62,26
62,2
62,48
62,7
62,1
62,46
62,45
62,15
62,41
62,18
62,42
62,12
62,16
62,13
62,6
62,3
62,17
62,20
62,44
62,47
62,43
62,5
62,9
62,34
63,45
63,42
63,30
63,15
63,41
63,37
63,7
64,46
64,43
64,45
64,48
64,15
64,47
64,42
65,48
65,37
65,36
65,21
65,24
65,16
65,43
65,10
65,44
65,34
66,48
66,29
66,25
66,18
66,45
66,11
66,22
66,33
66,6
66,35
66,32
67,47
67,14
67,48
67,34
67,10
67,25
67,28
67,20
67,19
67,21
67,45
67,22
67,5
67,15
68,44
68,40
68,42
68,9
68,45
68,3
68,4
68,46
68,43
68,12
68,21
69,34
69,46
69,2
69,37
70,36
70,43
70,44
70,47
70,48
70,16
70,21
70,24
70,41
72,48
72,47
72,44
72,37
72,40
72,45
72,35
72,23
72,43
72,21
72,24
72,46
72,41
72,25
72,42
72,39
72,18
72,30
72,27